Folder,Analysis Result
winter_dark,"(array([31, 22, 16]), array([39, 40, 37]), array([173,  91,  89]), array([224, 218, 181]))"
winter_dark,"(array([79, 61, 71]), array([135, 102,  97]), array([233, 126, 133]), array([254, 226, 198]))"
winter_dark,"(array([71, 52, 54]), array([130, 115, 116]), array([173, 132, 142]), array([191, 180, 171]))"
winter_dark,"(array([27,  3,  4]), array([58, 28, 26]), array([198, 132, 135]), array([215, 197, 183]))"
winter_dark,"(array([41, 32, 26]), array([155, 135, 123]), array([158,  73,  73]), array([223, 216, 212]))"
winter_dark,"(array([59, 37, 28]), array([127, 121, 115]), array([192, 134, 146]), array([206, 200, 189]))"
winter_dark,"(array([29, 27, 33]), array([86, 80, 80]), array([147,  87,  93]), array([177, 148, 133]))"
winter_dark,"(array([24, 19, 18]), array([73, 66, 61]), array([118,  74,  76]), array([155, 135, 127]))"
winter_dark,"(array([64, 54, 54]), array([70, 62, 61]), array([146,  93,  95]), array([203, 171, 152]))"
winter_dark,"(array([24, 20, 23]), array([27, 25, 28]), array([84, 42, 47]), array([145, 130, 112]))"
winter_dark,"(array([31, 25, 24]), array([53, 48, 46]), array([121,  73,  76]), array([144, 116, 104]))"
winter_dark,"(array([30, 22, 23]), array([55, 41, 40]), array([161,  67,  84]), array([191, 154, 151]))"
winter_dark,"(array([64, 46, 36]), array([66, 60, 56]), array([202, 158, 164]), array([214, 201, 190]))"
winter_dark,"(array([31, 26, 29]), array([14, 16, 14]), array([109,  58,  55]), array([171, 128, 109]))"
winter_dark,"(array([26,  7, 11]), array([109,  82,  82]), array([200, 132, 124]), array([206, 153, 134]))"
winter_dark,"(array([40, 26, 27]), array([76, 59, 57]), array([160,  87,  86]), array([219, 185, 159]))"
winter_dark,"(array([28, 19, 14]), array([77, 57, 43]), array([157,  77,  78]), array([190, 166, 153]))"
winter_dark,"(array([33, 22, 20]), array([66, 53, 53]), array([142,  68,  67]), array([231, 170, 144]))"
winter_dark,"(array([41, 18, 12]), array([72, 54, 49]), array([135,  77,  69]), array([183, 132, 106]))"
winter_dark,"(array([18,  5,  5]), array([5, 5, 5]), array([202, 219, 225]), array([180, 156, 143]))"
winter_dark,"(array([252, 171, 143]), array([174, 114, 100]), array([253, 148, 139]), array([249, 153, 122]))"
winter_dark,"(array([71, 35, 28]), array([162, 101,  80]), array([255, 159, 128]), array([255, 207, 154]))"
winter_dark,"(array([18, 17,  2]), array([133, 142, 143]), array([116,  88, 100]), array([157, 170, 180]))"
winter_dark,"(array([48, 28, 34]), array([87, 68, 68]), array([253, 163, 150]), array([254, 214, 174]))"
winter_dark,"(array([67, 44, 35]), array([85, 71, 65]), array([248, 169, 163]), array([252, 213, 190]))"
winter_dark,"(array([15,  6,  5]), array([125, 107, 108]), array([133,  53,  72]), array([170, 150, 154]))"
winter_dark,"(array([28, 26, 29]), array([170, 165, 165]), array([165, 130, 138]), array([204, 189, 178]))"
winter_dark,"(array([37, 16, 15]), array([123,  95,  89]), array([111,  57,  52]), array([218, 176, 155]))"
winter_dark,"(array([30, 24, 28]), array([115,  90,  81]), array([188,  97, 109]), array([134, 104,  96]))"
summer_light,"(array([40, 20, 19]), array([118, 110, 122]), array([185, 125, 156]), array([168, 165, 193]))"
summer_light,"(array([24, 13, 13]), array([33, 26, 23]), array([152,  76,  80]), array([231, 206, 182]))"
summer_light,"(array([71, 53, 47]), array([114,  93,  75]), array([253, 187, 152]), array([240, 207, 143]))"
summer_light,"(array([39, 28, 24]), array([135, 114,  95]), array([207, 126, 112]), array([213, 210, 187]))"
summer_light,"(array([27, 21, 22]), array([192, 165, 119]), array([218, 105, 104]), array([234, 210, 163]))"
summer_light,"(array([49, 35, 32]), array([90, 64, 47]), array([234, 161, 180]), array([228, 193, 186]))"
summer_light,"(array([24, 15, 14]), array([29, 25, 23]), array([139,  74,  70]), array([187, 163, 129]))"
summer_light,"(array([72, 48, 48]), array([14,  8,  6]), array([227, 149, 139]), array([241, 216, 199]))"
summer_light,"(array([61, 59, 59]), array([176, 153, 128]), array([206, 122, 123]), array([208, 180, 163]))"
summer_light,"(array([80, 50, 41]), array([135, 115, 101]), array([232, 143, 132]), array([237, 204, 170]))"
summer_light,"(array([54, 43, 41]), array([125, 106,  89]), array([144,  82,  85]), array([189, 182, 183]))"
summer_light,"(array([54, 61, 69]), array([110, 107, 103]), array([120,  60,  66]), array([174, 195, 199]))"
summer_light,"(array([38, 39, 44]), array([103,  88,  73]), array([202, 110,  97]), array([206, 197, 166]))"
summer_light,"(array([62, 51, 43]), array([212, 166, 137]), array([244, 146, 150]), array([253, 218, 187]))"
summer_light,"(array([44, 38, 39]), array([71, 55, 47]), array([161,  87, 101]), array([177, 143, 139]))"
summer_light,"(array([31, 28, 27]), array([100,  90,  87]), array([151, 108, 114]), array([82, 64, 50]))"
summer_light,"(array([30, 12,  6]), array([141,  87,  81]), array([250, 131, 137]), array([226, 147, 144]))"
summer_light,"(array([63, 38, 35]), array([137, 107, 101]), array([199, 106, 114]), array([217, 177, 163]))"
summer_light,"(array([48, 33, 32]), array([115,  92,  91]), array([193, 107, 118]), array([213, 180, 172]))"
summer_light,"(array([28, 10,  5]), array([104,  87,  82]), array([205, 156, 168]), array([177, 160, 146]))"
summer_light,"(array([47, 43, 42]), array([90, 78, 70]), array([148,  94,  99]), array([169, 159, 159]))"
summer_light,"(array([36, 30, 32]), array([106,  93,  88]), array([167,  92, 104]), array([192, 178, 176]))"
summer_light,"(array([16,  7,  8]), array([166, 143, 135]), array([191, 119, 134]), array([217, 190, 179]))"
summer_light,"(array([34, 18, 20]), array([145, 123, 108]), array([186,  84,  95]), array([199, 168, 135]))"
summer_light,"(array([57, 57, 51]), array([121, 117,  95]), array([207, 196, 194]), array([212, 228, 213]))"
summer_light,"(array([47, 37, 32]), array([39, 33, 31]), array([140,  72,  79]), array([153, 130, 109]))"
summer_light,"(array([31, 31, 29]), array([74, 72, 69]), array([107,  82,  85]), array([148, 141, 141]))"
summer_light,"(array([29, 14, 11]), array([30, 28, 35]), array([191, 115, 130]), array([189, 160, 146]))"
summer_light,"(array([48, 36, 33]), array([76, 69, 63]), array([172, 111, 106]), array([224, 200, 174]))"
summer_light,"(array([55, 54, 55]), array([56, 53, 53]), array([119,  78,  87]), array([162, 146, 136]))"
summer_light,"(array([5, 2, 6]), array([10,  7, 10]), array([195, 111, 112]), array([239, 213, 203]))"
summer_light,"(array([3, 2, 8]), array([ 8,  9, 18]), array([149,  82,  90]), array([189, 163, 156]))"
summer_light,"(array([62, 49, 46]), array([115,  93,  87]), array([156,  96, 102]), array([168, 140, 137]))"
summer_light,"(array([41, 29, 32]), array([177, 158, 154]), array([165,  92,  98]), array([211, 183, 171]))"
summer_light,"(array([29, 20, 35]), array([100, 104,  93]), array([169, 131, 171]), array([173, 216, 211]))"
summer_light,"(array([42, 32, 32]), array([51, 42, 40]), array([182, 119, 126]), array([202, 190, 189]))"
summer_light,"(array([35, 18, 15]), array([110,  99,  95]), array([198, 139, 150]), array([235, 218, 209]))"
